ID,X,Y,Z,Node,Drawdown_p,Drawdown_r
341,263919.2852,2744389.984,90.78299723,13806,-0.311350476,-0.249375866
342,264019.388,2744583.301,90.6564391,13848,-0.175668611,-0.146021167
343,263482.5045,2744468.344,90.57796338,13876,-0.220600564,-0.201473219
344,263986.1871,2744360.259,90.45848131,13914,-0.234016897,-0.187439328
345,263314.7511,2744315.97,90.15697651,14019,-0.144235164,-0.132686248
346,263378.0375,2744275.294,90.05862569,14053,-0.187142104,-0.171270738
347,263516.9289,2744482.356,90.01050554,14061,-0.225314366,-0.205341182
348,263948.1177,2744613.27,89.92341423,14090,-0.182427411,-0.152889757
349,263767.7509,2744515.362,89.86877102,14105,-0.319388623,-0.269899387
350,264175.7497,2744329.494,89.71656287,14158,-0.145078684,-0.118591498
351,263840.3271,2744483.995,89.70727456,14162,-0.333954271,-0.276015018
352,263912.9034,2744452.627,89.54577809,14224,-0.28745694,-0.233833257
353,264093.8168,2744552.537,89.52192336,14235,-0.167013648,-0.138148536
354,263551.3532,2744496.368,89.4430477,14273,-0.231886135,-0.210567438
355,263623.6858,2744521.92,89.39452993,14282,-0.257422721,-0.229635781
356,263972.2468,2744486.123,89.37791756,14291,-0.200559849,-0.164954388
357,264111.2284,2744361.336,89.30665456,14316,-0.164900794,-0.134241087
358,263979.8052,2744422.903,89.22126217,14342,-0.22200495,-0.180163879
359,263754.9041,2744578.439,89.21764261,14344,-0.239782284,-0.204966721
360,264031.5902,2744519.619,89.21005703,14347,-0.178189164,-0.147194802
361,263738.4273,2744703.644,89.10623479,14388,-0.184826166,-0.159706232
362,264039.1486,2744456.399,89.05340164,14411,-0.182690435,-0.14987367
363,263801.6727,2744673.939,89.04261192,14413,-0.191056444,-0.163672287
364,264046.7071,2744393.178,88.89674625,14472,-0.188468482,-0.153017942
365,263828.4002,2744547.46,88.80638916,14506,-0.255833548,-0.215524325
366,263900.9764,2744516.093,88.64489269,14552,-0.232947469,-0.19301437
367,263875.1688,2744642.961,88.63135847,14559,-0.189382485,-0.16050508
368,263742.0573,2744641.515,88.56651419,14575,-0.201640975,-0.173567926
369,263960.3199,2744549.589,88.47703216,14600,-0.188624239,-0.156733397
370,264163.9048,2744521.774,88.37762783,14628,-0.15802442,-0.130475929
371,264173.7579,2744393.794,88.31901443,14657,-0.14966736,-0.122660137
372,263815.5534,2744610.537,88.15526074,14716,-0.210287812,-0.17907684
373,263688.6682,2744551.367,88.13081543,14724,-0.274855941,-0.238421723
374,264101.6782,2744488.856,88.06576151,14753,-0.167345718,-0.137868027
375,263409.813,2744441.033,88.02831039,14763,-0.209876481,-0.192147689
376,264109.2366,2744425.636,87.90910612,14811,-0.165899963,-0.135931532
377,263889.0495,2744579.559,87.74400729,14869,-0.201192902,-0.169156324
378,263361.3715,2744345.487,87.59261939,14919,-0.19296181,-0.178011356
379,263675.8214,2744614.443,87.47968702,14953,-0.206111914,-0.1792221
380,263674.551,2744673.822,87.31939291,14994,-0.186937858,-0.162807244
381,264171.7661,2744458.093,86.92146598,15119,-0.155468301,-0.127938296
382,263557.7174,2744742.544,86.50016907,15244,-0.163745521,-0.145227698
383,263464.9204,2744536.268,86.48989539,15248,-0.201616964,-0.183436443
384,263537.253,2744561.82,86.44137762,15266,-0.2101975,-0.1900578
385,263609.5855,2744587.371,86.39285984,15281,-0.215110144,-0.191714822
386,263608.3152,2744646.75,86.23256574,15338,-0.187613582,-0.165861981
387,263607.0448,2744706.128,86.07227163,15376,-0.174630259,-0.15388748
388,263476.0615,2744731.179,85.37240211,15572,-0.157570225,-0.141207798
389,263454.3267,2744609.833,85.15331655,15634,-0.181890948,-0.164808055
390,263526.6593,2744635.385,85.10479878,15648,-0.184496134,-0.165706205
391,263525.3889,2744694.763,84.94450467,15684,-0.168939066,-0.15085293
392,263340.4545,2744413.567,84.4916044,15810,-0.191930181,-0.17604299
393,263392.229,2744508.957,83.94024241,15995,-0.192201156,-0.175343617
394,263443.733,2744683.399,83.81673771,16029,-0.161962186,-0.146022096
